|dates|Gilpin_Colorado_UnitedStates.BLS_EmployedPopulation.data|Gilpin_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Gilpin_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Gilpin_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Gilpin_Colorado_UnitedStates.BLS_UnemploymentRate.data|Gilpin_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Gilpin_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Gilpin_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-05-30|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-31|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-06-01|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-02|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-03|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-04|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-05|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-06|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-07|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-08|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-09|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-10|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-11|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-12|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-13|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-14|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-15|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-16|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-17|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-18|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-19|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-20|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-21|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-22|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-23|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-24|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-25|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-26|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-27|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-28|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-29|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-06-30|3463.0|0|908.0|0|20.773278425989478|0|4371.0|0
0|2020-07-01|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-02|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-03|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-04|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-05|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-06|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-07|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-08|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-09|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-10|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-11|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-12|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-13|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-14|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-15|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-16|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-17|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-18|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-19|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-20|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-21|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-22|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-23|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-24|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-25|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-26|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-27|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-28|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-29|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-30|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-07-31|3511.0|0|485.0|0|12.137137137137136|0|3996.0|0
0|2020-08-01|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-02|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-03|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-04|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-05|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-06|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-07|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-08|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-09|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-10|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-11|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-12|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-13|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-14|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-15|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-16|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-17|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-18|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-19|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-20|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-21|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-22|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-23|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-24|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
0|2020-08-25|3573.0|0|459.0|0|11.383928571428571|0|4032.0|0
