|dates|Cass_Indiana_UnitedStates.BLS_EmployedPopulation.data|Cass_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Cass_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Cass_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Cass_Indiana_UnitedStates.BLS_UnemploymentRate.data|Cass_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Cass_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Cass_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-04-11|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-12|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-13|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-14|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-15|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-16|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-17|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-18|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-19|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-20|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-21|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-22|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-23|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-24|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-25|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-26|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-27|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-28|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-29|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-30|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-05-01|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-02|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-03|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-04|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-05|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-06|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-07|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-08|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-09|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-10|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
0|2020-05-11|15413.0|0|2225.0|0|12.61480893525343|0|17638.0|0
