|dates|Highland_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Highland_Virginia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Highland_Virginia_UnitedStates.Male_Total_Population.data|Highland_Virginia_UnitedStates.Male_Total_Population.missing|Highland_Virginia_UnitedStates.Female_Total_Population.data|Highland_Virginia_UnitedStates.Female_Total_Population.missing|Highland_Virginia_UnitedStates.MaleAndFemale_Under18_Population.data|Highland_Virginia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-06-27|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-28|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-29|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-06-30|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-01|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-02|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-03|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-04|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-05|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-06|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-07|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-08|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-09|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-10|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-11|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-12|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-13|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-14|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-15|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-16|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-17|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-18|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-19|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-20|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-21|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-22|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-23|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-24|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-25|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-26|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-27|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-28|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-29|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-30|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-07-31|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-01|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-02|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-03|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-04|760.0|0|1100.0|0|1110.0|0|290.0|0
0|2020-08-05|760.0|0|1100.0|0|1110.0|0|290.0|0
