|dates|Sully_SouthDakota_UnitedStates.AveragePrecipitationTotal.data|Sully_SouthDakota_UnitedStates.AveragePrecipitationTotal.missing|Sully_SouthDakota_UnitedStates.AveragePrecipitation.data|Sully_SouthDakota_UnitedStates.AveragePrecipitation.missing|Sully_SouthDakota_UnitedStates.AverageWindDirection.data|Sully_SouthDakota_UnitedStates.AverageWindDirection.missing|Sully_SouthDakota_UnitedStates.AverageWindSpeed.data|Sully_SouthDakota_UnitedStates.AverageWindSpeed.missing
0|2020-04-04|0.0|0|0.0|0|138.33333333333334|0|13.708333333333334|0
0|2020-04-05|0.0|0|0.0|0|132.5|0|16.208333333333332|0
0|2020-04-06|0.0|0|0.0|0|203.54166666666666|0|8.208333333333334|0
0|2020-04-07|0.0|0|0.0|0|240.0|0|8.708333333333334|0
0|2020-04-08|0.0|0|0.0|0|248.33333333333334|0|18.0|0
0|2020-04-09|0.0|0|0.0|0|238.75|0|17.8125|0
0|2020-04-10|0.0|0|0.0|0|151.66666666666666|0|8.416666666666666|0
0|2020-04-11|0.0|0|0.004270833333333333|0|69.34027777777779|0|12.767361111111109|0
0|2020-04-12|0.005416666666666667|0|0.0|0|263.40277777777777|0|18.625|0
0|2020-04-13|0.0|0|0.0|0|300.97222222222223|0|21.479166666666668|0
0|2020-04-14|0.0|0|0.0|0|222.91666666666666|0|10.541666666666666|0
0|2020-04-15|0.0|0|0.0|0|103.6111111111111|0|6.833333333333333|0
0|2020-04-16|0.0|0|0.0|0|235.67361111111111|0|6.746527777777779|0
0|2020-04-17|0.0|0|0.0|0|241.66666666666666|0|9.083333333333334|0
0|2020-04-18|0.0|0|0.0|0|255.83333333333334|0|12.333333333333334|0
0|2020-04-19|0.0|0|0.0|0|132.70833333333334|0|7.4375|0
0|2020-04-20|0.0|0|0.0|0|268.75|0|16.75|0
0|2020-04-21|0.0|0|0.0|0|198.36805555555557|0|7.357638888888889|0
0|2020-04-22|0.0|0|0.0|0|267.7083333333333|0|11.041666666666666|0
0|2020-04-23|0.0|0|0.0|0|258.75|0|10.208333333333334|0
0|2020-04-24|0.0|0|0.0|0|268.3333333333333|0|8.416666666666666|0
0|2020-04-25|0.0|0|0.0|0|235.83333333333334|0|12.770833333333334|0
0|2020-04-26|0.0|0|0.0|0|125.41666666666667|0|9.541666666666666|0
0|2020-04-27|0.0|0|0.0|0|165.0|0|8.916666666666666|0
0|2020-04-28|0.0016666666666666668|0|0.0025|0|260.27777777777777|0|18.194444444444443|0
0|2020-04-29|0.0004166666666666667|0|0.0|0|274.7916666666667|0|13.729166666666666|0
0|2020-04-30|0.0|0|0.0|0|113.75|0|13.375|0
0|2020-05-01|0.0|0|0.0|0|281.6666666666667|0|17.666666666666668|0
0|2020-05-02|0.0|0|0.0|0|242.08333333333334|0|8.041666666666666|0
0|2020-05-03|0.0|0|0.0|0|142.91666666666666|0|11.416666666666666|0
0|2020-05-04|0.00125|0|0.03374007936507937|0|200.8531746031746|0|16.407242063492063|0
0|2020-05-05|0.045000000000000005|0|0.0013541666666666667|0|291.3541666666667|0|11.520833333333334|0
0|2020-05-06|0.0025|0|0.0|0|185.83333333333334|0|6.625|0
0|2020-05-07|0.00125|0|0.022500000000000003|0|140.0|0|11.208333333333334|0
0|2020-05-08|0.02125|0|0.0|0|193.75|0|6.208333333333333|0
0|2020-05-09|0.0|0|0.0|0|287.01388888888886|0|20.930555555555554|0
0|2020-05-10|0.0|0|0.0|0|229.16666666666666|0|11.0|0
0|2020-05-11|0.0|0|0.0|0|132.08333333333334|0|4.083333333333333|0
0|2020-05-12|0.0|0|0.0004166666666666667|0|127.08333333333333|0|12.666666666666666|0
0|2020-05-13|0.0009722222222222223|0|0.0025|0|132.63888888888889|0|10.319444444444445|0
0|2020-05-14|0.0|0|0.0|0|248.33333333333334|0|7.541666666666667|0
0|2020-05-15|0.0|0|0.006944444444444444|0|106.52777777777777|0|9.88888888888889|0
0|2020-05-16|0.01875|0|0.017881944444444447|0|106.18055555555554|0|12.159722222222223|0
0|2020-05-17|0.0075|0|0.0|0|173.2638888888889|0|7.5694444444444455|0
0|2020-05-18|0.0|0|0.0|0|122.08333333333333|0|11.833333333333334|0
0|2020-05-19|0.0|0|0.0|0|139.58333333333334|0|18.166666666666668|0
0|2020-05-20|0.0|0|0.0|0|132.36111111111111|0|20.73611111111111|0
0|2020-05-21|0.0|0|0.0|0|159.93055555555557|0|13.402777777777779|0
0|2020-05-22|0.0|0|0.0|0|143.75|0|11.583333333333334|0
0|2020-05-23|0.0|0|0.012083333333333333|0|137.60416666666666|0|12.9375|0
0|2020-05-24|0.020416666666666666|0|0.013416666666666667|0|308.2083333333333|0|16.38888888888889|0
0|2020-05-25|0.0|0|0.00125|0|257.22222222222223|0|9.444444444444445|0
0|2020-05-26|0.00125|0|0.0|0|154.16666666666666|0|3.7916666666666665|0
0|2020-05-27|0.0|0|0.0|0|172.08333333333334|0|6.541666666666667|0
0|2020-05-28|0.00125|0|0.00125|0|309.5833333333333|0|10.625|0
0|2020-05-29|0.0|0|0.0|0|131.66666666666666|0|5.375|0
0|2020-05-30|0.0|0|0.0|0|107.91666666666667|0|9.583333333333334|0
0|2020-05-31|0.0|0|0.0|0|127.91666666666667|0|13.8125|0
0|2020-06-01|0.0|0|0.0|0|221.25|0|7.583333333333333|0
0|2020-06-02|0.0|0|0.0|0|136.66666666666666|0|11.916666666666666|0
0|2020-06-03|0.0|0|0.0004166666666666667|0|161.66666666666666|0|5.479166666666667|0
0|2020-06-04|0.0004166666666666667|0|0.005208333333333333|0|130.20833333333331|0|9.98611111111111|0
0|2020-06-05|0.0009722222222222223|0|0.0|0|155.2777777777778|0|8.75|0
0|2020-06-06|0.0|0|0.0011805555555555556|0|117.5|0|20.305555555555554|0
0|2020-06-07|0.0025|0|0.02436111111111111|0|147.88888888888889|0|12.702777777777778|0
0|2020-06-08|0.0|0|0.0003125|0|181.35416666666666|0|14.875|0
0|2020-06-09|0.01958333333333333|0|0.021666666666666667|0|305.0|0|15.791666666666666|0
0|2020-06-10|0.0025|0|0.0|0|302.5|0|15.541666666666666|0
0|2020-06-11|0.0|0|0.0|0|267.0833333333333|0|8.958333333333334|0
0|2020-06-12|0.0|0|0.0|0|279.5833333333333|0|8.979166666666666|0
0|2020-06-13|0.0|0|0.0|0|118.33333333333333|0|12.875|0
0|2020-06-14|0.0|0|0.0|0|140.48611111111111|0|18.520833333333332|0
0|2020-06-15|0.0|0|0.0|0|129.375|0|9.5625|0
0|2020-06-16|0.0|0|0.0|0|143.75|0|18.458333333333332|0
0|2020-06-17|0.0|0|0.0029166666666666664|0|202.70833333333337|0|15.416666666666664|0
0|2020-06-18|0.009166666666666667|0|0.00375|0|286.52777777777777|0|12.097222222222221|0
0|2020-06-19|0.0|0|0.0|0|179.58333333333334|0|6.0|0
0|2020-06-20|0.0|0|0.0|0|160.20833333333334|0|7.097222222222221|0
0|2020-06-21|0.0|0|0.0|0|136.66666666666666|0|4.458333333333333|0
0|2020-06-22|0.0|0|0.0|0|179.0625|0|6.739583333333333|0
0|2020-06-23|0.0|0|0.0|0|221.25|0|6.5|0
0|2020-06-24|0.0|0|0.0|0|120.41666666666667|0|8.333333333333334|0
0|2020-06-25|0.0|0|0.007847222222222222|0|163.36805555555554|0|7.572916666666667|0
0|2020-06-26|0.010416666666666666|0|0.0|0|202.5|0|5.958333333333333|0
0|2020-06-27|0.0|0|0.0|0|122.5|0|11.416666666666666|0
0|2020-06-28|0.0|0|0.0|0|140.83333333333334|0|15.125|0
0|2020-06-29|0.0|0|0.0|0|128.54166666666666|0|14.791666666666666|0
0|2020-06-30|0.0|0|0.0|0|190.625|0|12.590277777777777|0
0|2020-07-01|0.0|0|0.0|0|164.58333333333334|0|9.083333333333334|0
0|2020-07-02|0.0|0|0.011388888888888888|0|143.54166666666666|0|14.354166666666666|0
0|2020-07-03|0.017083333333333332|0|0.0|0|123.33333333333333|0|9.583333333333334|0
0|2020-07-04|0.0|0|0.0|0|125.52083333333333|0|13.395833333333334|0
0|2020-07-05|0.0|0|0.00375|0|101.45833333333333|0|10.28125|0
0|2020-07-06|0.01625|0|0.02048611111111111|0|113.47222222222221|0|7.305555555555556|0
0|2020-07-07|0.010694444444444444|0|0.009166666666666668|0|145.90277777777777|0|12.069444444444443|0
0|2020-07-08|0.0004166666666666667|0|0.0|0|149.86111111111111|0|9.034722222222223|0
0|2020-07-09|0.0|0|0.0|0|154.23611111111111|0|7.020833333333333|0
0|2020-07-10|0.0|0|0.002916666666666667|0|129.16666666666666|0|6.5625|0
0|2020-07-11|0.002916666666666667|0|0.0|0|262.9166666666667|0|12.708333333333334|0
0|2020-07-12|0.0|0|0.0|0|133.33333333333334|0|9.416666666666666|0
0|2020-07-13|0.0|0|0.0|0|181.25|0|12.527777777777777|0
0|2020-07-14|0.014583333333333332|0|0.016875|0|186.04166666666666|0|8.395833333333334|0
0|2020-07-15|0.002916666666666667|0|0.0|0|120.41666666666667|0|5.833333333333333|0
0|2020-07-16|0.0|0|0.0|0|152.08333333333334|0|8.125|0
0|2020-07-17|0.0|0|0.0|0|172.08333333333334|0|11.291666666666666|0
0|2020-07-18|0.0|0|0.0|0|176.38888888888889|0|13.576388888888888|0
0|2020-07-19|0.0|0|0.0|0|182.08333333333334|0|5.916666666666667|0
0|2020-07-20|0.0|0|0.0004166666666666667|0|124.2361111111111|0|6.923611111111111|0
0|2020-07-21|0.00020833333333333335|0|0.0|0|201.08333333333334|0|6.408333333333334|0
