|dates|Mercer_Missouri_UnitedStates.BLS_EmployedPopulation.data|Mercer_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Mercer_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Mercer_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Mercer_Missouri_UnitedStates.BLS_UnemploymentRate.data|Mercer_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Mercer_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Mercer_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-04-15|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-16|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-17|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-18|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-19|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-20|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-21|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-22|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-23|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-24|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-25|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-26|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-27|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-28|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-29|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-04-30|1950.0|0|81.0|0|3.9881831610044314|0|2031.0|0
0|2020-05-01|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-02|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-03|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-04|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-05|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-06|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-07|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-08|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-09|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-10|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-11|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-12|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-13|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-14|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-15|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-16|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-17|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-18|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-19|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-20|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-21|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-22|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-23|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-24|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-25|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-26|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-27|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-28|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-29|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-30|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-05-31|1834.0|0|74.0|0|3.8784067085953877|0|1908.0|0
0|2020-06-01|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-02|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-03|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-04|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-05|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-06|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-07|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-08|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-09|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-10|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-11|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-12|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-13|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-14|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-15|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-16|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-17|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-18|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-19|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-20|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-21|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-22|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-23|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-24|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-25|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-26|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-27|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-28|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-29|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-06-30|1882.0|0|74.0|0|3.783231083844581|0|1956.0|0
0|2020-07-01|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-02|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-03|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-04|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-05|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-06|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-07|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-08|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-09|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-10|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-11|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-12|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-13|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-14|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-15|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-16|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-17|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-18|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-19|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-20|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-21|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-22|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-23|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-24|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-25|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-26|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-27|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-28|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-29|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-30|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-07-31|1676.0|0|78.0|0|4.4469783352337515|0|1754.0|0
0|2020-08-01|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-02|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-03|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-04|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-05|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-06|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-07|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-08|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-09|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-10|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-11|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-12|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-13|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-14|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-15|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-16|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-17|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-18|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-19|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-20|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-21|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-22|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-23|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-24|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-25|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-26|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-27|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-28|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-29|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-30|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-08-31|1710.0|0|72.0|0|4.040404040404041|0|1782.0|0
0|2020-09-01|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-02|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-03|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-04|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-05|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-06|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-07|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-08|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-09|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-10|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-11|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-12|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-13|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-14|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-15|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-16|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-17|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-18|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-19|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-20|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-21|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-22|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-23|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-24|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-25|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-26|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-27|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-28|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-29|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-09-30|1821.0|0|41.0|0|2.201933404940924|0|1862.0|0
0|2020-10-01|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-02|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-03|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-04|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-05|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-06|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-07|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-08|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-09|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-10|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-11|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-12|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-13|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-14|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-15|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-16|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-17|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-18|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-19|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-20|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-21|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-22|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-23|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-24|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-25|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-26|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-27|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-28|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-29|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-30|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-10-31|1941.0|0|39.0|0|1.9696969696969697|0|1980.0|0
0|2020-11-01|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-02|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-03|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-04|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-05|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-06|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-07|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-08|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-09|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-10|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-11|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-12|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-13|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-14|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-15|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-16|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-17|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
0|2020-11-18|1847.0|0|49.0|0|2.5843881856540083|0|1896.0|0
