|dates|Marinette_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Marinette_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Marinette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Marinette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Marinette_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Marinette_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Marinette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Marinette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-07-24|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-25|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-26|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-27|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-28|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-29|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-30|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-07-31|18024.0|0|1580.0|0|8.059579677616814|0|19604.0|0
0|2020-08-01|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-02|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-03|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-04|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-05|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-06|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-07|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-08|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-09|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-10|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-11|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-12|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-13|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-14|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-15|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-16|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-17|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-18|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-19|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-20|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-21|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-22|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-23|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-24|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-25|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-26|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-27|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-28|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
0|2020-08-29|18317.0|0|1321.0|0|6.726754251960485|0|19638.0|0
