|dates|SantaCruz_Arizona_UnitedStates.BLS_EmployedPopulation.data|SantaCruz_Arizona_UnitedStates.BLS_EmployedPopulation.missing|SantaCruz_Arizona_UnitedStates.BLS_UnemployedPopulation.data|SantaCruz_Arizona_UnitedStates.BLS_UnemployedPopulation.missing|SantaCruz_Arizona_UnitedStates.BLS_UnemploymentRate.data|SantaCruz_Arizona_UnitedStates.BLS_UnemploymentRate.missing|SantaCruz_Arizona_UnitedStates.BLS_LaborForcePopulation.data|SantaCruz_Arizona_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-04-25|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-26|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-27|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-28|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-29|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-04-30|16321.0|0|3165.0|0|16.24243046289644|0|19486.0|0
0|2020-05-01|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-02|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-03|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-04|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-05|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-06|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-07|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-08|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-09|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-10|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-11|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-12|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-13|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-14|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-15|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-16|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-17|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-18|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-19|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-20|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-21|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-22|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-23|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-24|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-25|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-26|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-27|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-28|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-29|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-30|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-05-31|17333.0|0|2522.0|0|12.7020901536137|0|19855.0|0
0|2020-06-01|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-02|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-03|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-04|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-05|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-06|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-07|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-08|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-09|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-10|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-11|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-12|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-13|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-14|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-15|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-16|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-17|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-18|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-19|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-20|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-21|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-22|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-23|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-24|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-25|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-26|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-27|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-28|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-29|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-06-30|16756.0|0|2698.0|0|13.86861313868613|0|19454.0|0
0|2020-07-01|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-02|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-03|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-04|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-05|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-06|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-07|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-08|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-09|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-10|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-11|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-12|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-13|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-14|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-15|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-16|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-17|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-18|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-19|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-20|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-21|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-22|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-23|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-24|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-25|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-26|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-27|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-28|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-29|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-30|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-07-31|15964.0|0|3010.0|0|15.863813639717508|0|18974.0|0
0|2020-08-01|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-02|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-03|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-04|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-05|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-06|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-07|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-08|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-09|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-10|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-11|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-12|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-13|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-14|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-15|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-16|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-17|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-18|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-19|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-20|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-21|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-22|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-23|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-24|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-25|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-26|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-27|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-28|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-29|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-30|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-08-31|16489.0|0|2185.0|0|11.700760415551034|0|18674.0|0
0|2020-09-01|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-02|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-03|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-04|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-05|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-06|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-07|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-08|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-09|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-10|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-11|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-12|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-13|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-14|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-15|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-16|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-17|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-18|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-19|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-20|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-21|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-22|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-23|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-24|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-25|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-26|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-27|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-28|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
0|2020-09-29|16714.0|0|2239.0|0|11.81343322956788|0|18953.0|0
