|dates|Wasatch_Utah_UnitedStates.BLS_EmployedPopulation.data|Wasatch_Utah_UnitedStates.BLS_EmployedPopulation.missing|Wasatch_Utah_UnitedStates.BLS_UnemployedPopulation.data|Wasatch_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Wasatch_Utah_UnitedStates.BLS_UnemploymentRate.data|Wasatch_Utah_UnitedStates.BLS_UnemploymentRate.missing|Wasatch_Utah_UnitedStates.BLS_LaborForcePopulation.data|Wasatch_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-08-24|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-25|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-26|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-27|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-28|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-29|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-30|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-08-31|15851.0|0|965.0|0|5.7385823025689815|0|16816.0|0
0|2020-09-01|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-02|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-03|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-04|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-05|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-06|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-07|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-08|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-09|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-10|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
0|2020-09-11|15453.0|0|770.0|0|4.7463477778462675|0|16223.0|0
