|dates|Cumberland_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Cumberland_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Cumberland_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Cumberland_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Cumberland_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Cumberland_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-08-03|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-04|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-05|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-06|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-07|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-08|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-09|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-10|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-11|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-12|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-13|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-14|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-15|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-16|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-17|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-18|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-19|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-20|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-21|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-22|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-23|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-24|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-25|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-26|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-27|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-28|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-29|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-30|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-08-31|120110.0|0|9307.0|0|7.191481799145398|0|129417.0|0
0|2020-09-01|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-02|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-03|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-04|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-05|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-06|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-07|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-08|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-09|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-10|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-11|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-12|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-13|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-14|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-15|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-16|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-17|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-18|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-19|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-20|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-21|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-22|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-23|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-24|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-25|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-26|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-27|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-28|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-29|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-09-30|124055.0|0|6366.0|0|4.88111577123316|0|130421.0|0
0|2020-10-01|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-02|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-03|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-04|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-05|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-06|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-07|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-08|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-09|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-10|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-11|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-12|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-13|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-14|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-15|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-16|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-17|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-18|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-19|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-20|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-21|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-22|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-23|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-24|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-25|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-26|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-27|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-28|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-29|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-30|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-10-31|124340.0|0|5845.0|0|4.4897645658101935|0|130185.0|0
0|2020-11-01|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-02|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-03|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-04|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
0|2020-11-05|124539.0|0|5831.0|0|4.47265475186009|0|130370.0|0
