|dates|Ocean_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ocean_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ocean_NewJersey_UnitedStates.Male_Total_Population.data|Ocean_NewJersey_UnitedStates.Male_Total_Population.missing|Ocean_NewJersey_UnitedStates.Female_Total_Population.data|Ocean_NewJersey_UnitedStates.Female_Total_Population.missing|Ocean_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Ocean_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-07-17|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-18|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-19|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-20|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-21|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-22|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-23|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-24|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-25|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-26|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-27|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-28|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-29|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-30|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-31|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-01|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-02|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-03|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-04|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-05|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-06|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-07|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-08|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-09|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-10|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-11|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-12|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-13|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-14|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-15|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-16|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-17|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-18|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-19|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-08-20|135652.0|0|290366.0|0|311285.0|0|144247.0|0
