|dates|Hinsdale_Colorado_UnitedStates.AveragePrecipitationTotal.data|Hinsdale_Colorado_UnitedStates.AveragePrecipitationTotal.missing|Hinsdale_Colorado_UnitedStates.AveragePrecipitation.data|Hinsdale_Colorado_UnitedStates.AveragePrecipitation.missing|Hinsdale_Colorado_UnitedStates.AverageWindDirection.data|Hinsdale_Colorado_UnitedStates.AverageWindDirection.missing|Hinsdale_Colorado_UnitedStates.AverageWindSpeed.data|Hinsdale_Colorado_UnitedStates.AverageWindSpeed.missing
0|2020-03-29|0.0|0|0.0|0|93.33333333333333|0|3.7604166666666665|0
0|2020-03-30|0.0|0|0.0021875|0|176.97916666666666|0|5.427083333333333|0
0|2020-03-31|0.0|0|0.0|0|145.9375|0|4.958333333333333|0
0|2020-04-01|0.0|0|0.0|0|141.04166666666666|0|5.979166666666667|0
0|2020-04-02|0.0|0|0.0|0|199.58333333333334|0|7.760416666666667|0
0|2020-04-03|0.0|0|0.0|0|156.35416666666666|0|5.25|0
0|2020-04-04|0.0|0|0.0004166666666666667|0|123.125|0|5.354166666666667|0
0|2020-04-05|0.0|0|0.0|0|132.39583333333334|0|8.90625|0
0|2020-04-06|0.0|0|0.0|0|137.23958333333334|0|7.71875|0
0|2020-04-07|0.0|0|0.0|0|145.05208333333334|0|5.119791666666667|0
0|2020-04-08|0.0|0|0.0|0|146.30208333333334|0|5.296875|0
0|2020-04-09|0.0|0|0.0|0|138.75|0|6.53125|0
0|2020-04-10|0.0|0|0.0|0|156.77083333333334|0|5.083333333333333|0
0|2020-04-11|0.0|0|0.0|0|174.16666666666666|0|5.885416666666667|0
0|2020-04-12|0.0|0|0.0015624999999999999|0|235.20833333333334|0|8.083333333333334|0
0|2020-04-13|0.0|0|0.0|0|227.5|0|7.34375|0
0|2020-04-14|0.0|0|0.0|0|154.89583333333334|0|4.489583333333333|0
0|2020-04-15|0.0|0|0.0|0|191.97916666666666|0|6.1875|0
0|2020-04-16|0.0|0|0.0003125|0|174.58333333333334|0|6.791666666666667|0
0|2020-04-17|0.0|0|0.00020833333333333335|0|156.30208333333334|0|4.713541666666667|0
0|2020-04-18|0.0|0|0.0|0|155.57291666666666|0|6.203125|0
0|2020-04-19|0.0|0|0.0025520833333333333|0|116.40625|0|3.2083333333333335|0
0|2020-04-20|0.0|0|0.0009375|0|91.77083333333333|0|3.2291666666666665|0
0|2020-04-21|0.0|0|0.0035416666666666674|0|97.44791666666667|0|3.1614583333333335|0
0|2020-04-22|0.0|0|0.0028125000000000003|0|95.52083333333333|0|3.3333333333333335|0
0|2020-04-23|0.0|0|0.0|0|197.39583333333334|0|6.151041666666667|0
0|2020-04-24|0.0|0|0.0|0|222.86458333333334|0|6.1875|0
0|2020-04-25|0.0|0|0.0|0|151.30208333333334|0|5.458333333333333|0
0|2020-04-26|0.0|0|0.0|0|147.70833333333334|0|6.765625|0
0|2020-04-27|0.0|0|0.0|0|165.0|0|5.5625|0
0|2020-04-28|0.0|0|0.0|0|137.60416666666666|0|5.552083333333333|0
0|2020-04-29|0.0|0|0.0|0|152.1875|0|5.625|0
0|2020-04-30|0.0|0|0.0|0|170.20833333333334|0|8.6875|0
0|2020-05-01|0.0|0|0.0|0|171.61458333333334|0|8.609375|0
0|2020-05-02|0.0|0|0.0|0|147.91666666666666|0|8.40625|0
0|2020-05-03|0.0|0|0.0|0|144.42708333333334|0|7.223958333333333|0
0|2020-05-04|0.0|0|0.0|0|185.20833333333334|0|6.395833333333333|0
0|2020-05-05|0.0|0|0.0|0|165.10416666666666|0|5.645833333333333|0
0|2020-05-06|0.0|0|0.0|0|156.09375|0|6.84375|0
0|2020-05-07|0.0|0|0.0|0|202.03125|0|5.927083333333333|0
0|2020-05-08|0.0|0|0.0|0|187.5|0|5.364583333333333|0
0|2020-05-09|0.0|0|0.0|0|186.51041666666666|0|7.927083333333333|0
0|2020-05-10|0.0|0|0.0|0|178.28125|0|6.723958333333333|0
0|2020-05-11|0.0|0|0.005729166666666667|0|91.66666666666667|0|3.5208333333333335|0
0|2020-05-12|0.0|0|0.0|0|142.70833333333334|0|7.744791666666667|0
0|2020-05-13|0.0|0|0.0|0|160.20833333333334|0|7.979166666666667|0
0|2020-05-14|0.0|0|0.0|0|154.01041666666666|0|6.020833333333333|0
0|2020-05-15|0.0|0|0.0|0|170.83333333333334|0|6.8125|0
0|2020-05-16|0.0|0|0.0|0|158.33333333333334|0|4.875|0
0|2020-05-17|0.0|0|0.0|0|168.95833333333334|0|6.489583333333333|0
0|2020-05-18|0.0|0|0.0|0|139.16666666666666|0|9.270833333333334|0
0|2020-05-19|0.0|0|0.0|0|117.34375|0|9.640625|0
0|2020-05-20|0.0|0|0.0|0|182.1875|0|13.677083333333334|0
0|2020-05-21|0.0|0|0.0|0|150.9375|0|4.885416666666667|0
0|2020-05-22|0.0|0|0.0|0|125.83333333333333|0|7.572916666666667|0
0|2020-05-23|0.0|0|0.0|0|152.60416666666666|0|7.46875|0
0|2020-05-24|0.0|0|0.0|0|158.38541666666666|0|5.348958333333333|0
0|2020-05-25|0.0|0|0.0|0|142.86458333333334|0|4.020833333333333|0
0|2020-05-26|0.0|0|0.0|0|107.70833333333333|0|3.5104166666666665|0
0|2020-05-27|0.0|0|0.0|0|168.33333333333334|0|5.307291666666667|0
0|2020-05-28|0.0|0|0.0|0|160.0|0|5.15625|0
0|2020-05-29|0.0|0|0.0015625000000000003|0|123.17708333333333|0|5.302083333333333|0
