|dates|VanBuren_Michigan_UnitedStates.BLS_EmployedPopulation.data|VanBuren_Michigan_UnitedStates.BLS_EmployedPopulation.missing|VanBuren_Michigan_UnitedStates.BLS_UnemployedPopulation.data|VanBuren_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|VanBuren_Michigan_UnitedStates.BLS_UnemploymentRate.data|VanBuren_Michigan_UnitedStates.BLS_UnemploymentRate.missing|VanBuren_Michigan_UnitedStates.BLS_LaborForcePopulation.data|VanBuren_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-04-20|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-21|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-22|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-23|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-24|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-25|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-26|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-27|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-28|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-29|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-04-30|26680.0|0|6946.5|0|20.657814521285296|0|33626.5|0
0|2020-05-01|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-02|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-03|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-04|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-05|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-06|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-07|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-08|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-09|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-10|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-11|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-12|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-13|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-14|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-15|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-16|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-17|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-18|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-19|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-20|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-21|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-22|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-23|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-24|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-25|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-26|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-27|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-28|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-29|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-30|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-05-31|29448.0|0|5783.0|0|16.414521302262212|0|35231.0|0
0|2020-06-01|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-02|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-03|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-04|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-05|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-06|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-07|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-08|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-09|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-10|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-11|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-12|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-13|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-14|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-15|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-16|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-17|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
0|2020-06-18|32154.0|0|3819.0|0|10.616295554999583|0|35973.0|0
