|dates|Jackson_Colorado_UnitedStates.BLS_EmployedPopulation.data|Jackson_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Jackson_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Jackson_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Jackson_Colorado_UnitedStates.BLS_UnemploymentRate.data|Jackson_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Jackson_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Jackson_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-03-28|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-29|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-30|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-03-31|813.5|0|52.0|0|6.008087810514153|0|865.5|0
0|2020-04-01|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-02|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-03|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-04|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-05|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-06|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-07|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-08|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-09|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-10|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-11|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-12|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-13|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-14|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-15|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-16|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-17|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-18|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-19|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-20|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-21|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-22|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-23|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-24|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-25|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-26|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-27|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-28|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-29|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-04-30|810.0|0|65.0|0|7.428571428571429|0|875.0|0
0|2020-05-01|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-02|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-03|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-04|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-05|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-06|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-07|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-08|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-09|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-10|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-11|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-12|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-13|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-14|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-15|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-16|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-17|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-18|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-19|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-20|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-21|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-22|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-23|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-24|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-25|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-26|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-27|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-28|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-29|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-30|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-05-31|820.0|0|56.0|0|6.392694063926941|0|876.0|0
0|2020-06-01|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-02|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-03|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-04|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-05|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-06|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-07|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-08|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-09|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-10|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-11|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-12|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-13|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-14|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-15|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-16|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-17|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-18|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-19|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-20|899.0|0|52.0|0|5.467928496319663|0|951.0|0
0|2020-06-21|899.0|0|52.0|0|5.467928496319663|0|951.0|0
