|dates|Thurston_Washington_UnitedStates.AveragePrecipitationTotal.data|Thurston_Washington_UnitedStates.AveragePrecipitationTotal.missing|Thurston_Washington_UnitedStates.AveragePrecipitation.data|Thurston_Washington_UnitedStates.AveragePrecipitation.missing|Thurston_Washington_UnitedStates.AverageWindDirection.data|Thurston_Washington_UnitedStates.AverageWindDirection.missing|Thurston_Washington_UnitedStates.AverageWindSpeed.data|Thurston_Washington_UnitedStates.AverageWindSpeed.missing
0|2020-06-27|0.0|0|0.0|0|230.20833333333334|0|10.833333333333334|0
0|2020-06-28|0.0|0|0.0|0|138.125|0|4.270833333333333|0
0|2020-06-29|0.0|0|0.0|0|205.625|0|8.645833333333334|0
0|2020-06-30|0.0|0|0.0|0|218.19444444444446|0|11.284722222222221|0
0|2020-07-01|0.0|0|0.0005833333333333334|0|205.45833333333334|0|10.345833333333333|0
0|2020-07-02|0.0004166666666666667|0|0.0004166666666666667|0|197.15277777777774|0|8.534722222222221|0
0|2020-07-03|0.0004166666666666667|0|0.0|0|165.0|0|4.75|0
0|2020-07-04|0.0|0|0.0|0|83.22916666666667|0|1.9895833333333333|0
0|2020-07-05|0.0|0|0.0|0|96.45833333333333|0|2.2708333333333335|0
0|2020-07-06|0.0|0|0.0|0|192.5|0|6.541666666666667|0
0|2020-07-07|0.0|0|0.00125|0|190.22916666666666|0|7.327777777777778|0
0|2020-07-08|0.00125|0|0.0|0|128.125|0|3.5416666666666665|0
0|2020-07-09|0.0|0|0.00375|0|147.29166666666666|0|4.5|0
0|2020-07-10|0.0016666666666666668|0|0.0|0|102.91666666666667|0|3.6458333333333335|0
0|2020-07-11|0.0|0|0.0|0|176.66666666666666|0|5.965277777777778|0
0|2020-07-12|0.0|0|0.0|0|183.95833333333334|0|6.333333333333333|0
0|2020-07-13|0.0|0|0.0|0|115.625|0|3.5625|0
0|2020-07-14|0.0|0|0.0|0|35.0|0|4.75|0
0|2020-07-15|0.0|0|0.0|0|46.666666666666664|0|3.2916666666666665|0
