|dates|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hand_SouthDakota_UnitedStates.Male_Total_Population.data|Hand_SouthDakota_UnitedStates.Male_Total_Population.missing|Hand_SouthDakota_UnitedStates.Female_Total_Population.data|Hand_SouthDakota_UnitedStates.Female_Total_Population.missing|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Hand_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-05-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-24|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-25|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-26|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-27|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-28|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-29|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-30|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-05-31|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-01|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-02|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-03|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-04|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-05|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-06|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-07|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-08|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-09|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-10|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-11|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-12|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-13|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-14|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-15|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-16|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-17|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-18|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-19|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-20|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-21|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-22|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-23|826.0|0|1627.0|0|1635.0|0|715.0|0
0|2020-06-24|826.0|0|1627.0|0|1635.0|0|715.0|0
