|dates|Henry_Indiana_UnitedStates.BLS_EmployedPopulation.data|Henry_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Henry_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Henry_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Henry_Indiana_UnitedStates.BLS_UnemploymentRate.data|Henry_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Henry_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Henry_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-03-26|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-27|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-28|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-29|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-30|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-03-31|20832.5|0|743.0|0|3.4437208871173324|0|21575.5|0
0|2020-04-01|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-02|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-03|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-04|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-05|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-06|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-07|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-08|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-09|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-10|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-11|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-12|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-13|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-14|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-15|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-16|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-17|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-18|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-19|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-20|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-21|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-22|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
0|2020-04-23|18031.5|0|3602.0|0|16.65010284974692|0|21633.5|0
