|dates|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Logan_NorthDakota_UnitedStates.Male_Total_Population.data|Logan_NorthDakota_UnitedStates.Male_Total_Population.missing|Logan_NorthDakota_UnitedStates.Female_Total_Population.data|Logan_NorthDakota_UnitedStates.Female_Total_Population.missing|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-05-03|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-04|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-05|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-06|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-07|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-08|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-09|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-10|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-11|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-12|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-13|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-14|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-15|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-16|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-17|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-18|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-19|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-20|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-21|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-22|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-23|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-24|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-25|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-26|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-27|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-28|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-29|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-30|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-05-31|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-01|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-02|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-03|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-04|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-05|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-06|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-07|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-08|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-09|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-10|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-11|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-12|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-13|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-14|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-06-15|494.0|0|983.0|0|920.0|0|438.0|0
